"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=J7xaESAddDQ","https://i.ytimg.com/vi/J7xaESAddDQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD9swFpeYBxSv5GQ9uMlWN7fiW7Qg","14:53","Update and Edit Blog Post - Django Blog #6","Codemy.com","•","35K views","2 years ago",""
"https://www.youtube.com/watch?v=CVEKe39VFu8","https://i.ytimg.com/vi/CVEKe39VFu8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAV-4Y65tcoG7gyt5giHl7W0IGE_A","28:24","How To Add Database Forms To A Web Page - Django Wednesdays #7","Codemy.com","•","56K views","1 year ago",""
"https://www.youtube.com/watch?v=B40bteAMM_M&list=PLCC34OHNcOtr025c1kHSPrnP18YPB-NFi","https://i.ytimg.com/vi/B40bteAMM_M/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBzQ-wr0pD5Fc0Zilp_eptC7m3INA","37","Create A Simple Django Blog","Codemy.com","•","","",""
"https://www.youtube.com/watch?v=HHx3tTQWUx0&list=PLCC34OHNcOtqW9BJmgQPPzUpJ8hl49AGy","https://i.ytimg.com/vi/HHx3tTQWUx0/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCYdH4tAMyI0wXXEJl3m7pJXOFrVQ","47","Django Wednesdays","Codemy.com","•","","",""
"https://www.youtube.com/watch?v=AW4NLdPMzlM","https://i.ytimg.com/vi/AW4NLdPMzlM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBwyV0p4Xcq8y7abnMPNwaD461neQ","3:57","Django Bootstrap Theme Installation","Dennis Ivy","•","112K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=cUaZ0ElJ760","https://i.ytimg.com/vi/cUaZ0ElJ760/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD--MslUmd9q4RAwaNZa8pfgUWCuQ","21:47","Using Fancy HTML Templates In Django - Python Django Dentist Website #4","Codemy.com","•","88K views","3 years ago",""
"https://www.youtube.com/watch?v=XapMxdIyLM8","https://i.ytimg.com/vi/XapMxdIyLM8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC_PDAFxq27jn3t_qH7ltSofOCpMA","9:49","Style Django Registration Forms - Django Wednesdays #26","Codemy.com","•","11K views","1 year ago",""
"https://www.youtube.com/watch?v=6-XXvUENY_8&list=RDCMUCFB0dxMudkws1q8w5NJEAmw&start_radio=1&rv=6-XXvUENY_8","https://i.ytimg.com/vi/6-XXvUENY_8/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBwCjHrTuN9-6t-foITTiYBYXS1-w","Now playing","More from this channel for you","•","•","","",""
"https://www.youtube.com/watch?v=F9o4GSkSo40","https://i.ytimg.com/vi/F9o4GSkSo40/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCeWWvycE8YjAJj4X8dNDOZCDmNXw","11:01","React + Django Integration Tutorial | Hello World App","Dennis Ivy","•","197K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=CTrVDi3tt8o","https://i.ytimg.com/vi/CTrVDi3tt8o/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDt1HL0Rol72RR3I106inVKEGGRZQ","21:25","Login With User Authentication - Django Wednesdays #21","Codemy.com","•","75K views","1 year ago",""
"https://www.youtube.com/watch?v=1v_XcJsGtyA&list=PLl1gkwYU90QkbbgUi5Q-yEXV_mPwyV1tx","https://i.ytimg.com/vi/1v_XcJsGtyA/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLASbDOGW2yyofUp0RTAEeXgvFB29g","17","Intermediate","Keep coding","•","","",""
"https://www.youtube.com/watch?v=B40bteAMM_M","https://i.ytimg.com/vi/B40bteAMM_M/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCqngoQxjhucSZN9tjTnS6XC6l-HQ","18:11","Create A Simple Blog With Python and Django - Django Blog #1","Codemy.com","•","168K views","2 years ago",""
"https://www.youtube.com/watch?v=BkzYfW1H8LI","https://i.ytimg.com/vi/BkzYfW1H8LI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCGzdPBcctszdtvbWTyERh7Qyyf0w","11:49","FASTEST Way to Learn Coding and ACTUALLY Get a Job","Namanh Kapur","•","965K views","6 months ago","Verified"
"https://www.youtube.com/watch?v=UkokhawLKDU","https://i.ytimg.com/vi/UkokhawLKDU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBi6VUBJ5G12qkxKY8Uexo0DBr4ug","22:28","Heroku Webhosting for Django - Python Django Dentist Website #12","Codemy.com","•","38K views","3 years ago",""
"https://www.youtube.com/watch?v=SINx2LZ7-J0","https://i.ytimg.com/vi/SINx2LZ7-J0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBNxppLSMv-a929Eov0mXveiBNCGQ","19:51","Style Our Blog With Bootstrap - Django Blog #3","Codemy.com","•","37K views","2 years ago",""
"https://www.youtube.com/watch?v=mF5jzSXb1dc","https://i.ytimg.com/vi/mF5jzSXb1dc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA1AqLrcyocxZZzmj8i-NpQt0ZK0A","8:13","Add A Rich Text Editor To A Django Blog - Django Blog #21","Codemy.com","•","53K views","2 years ago",""
"https://www.youtube.com/watch?v=IJnccWS_sCs","https://i.ytimg.com/vi/IJnccWS_sCs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBvM_72FRn0v9ud1HS2w7t0aq84jA","2:23:30","Build a CRM App With Django - Complete Course!","Codemy.com","•","3K views","6 days ago",""
"https://www.youtube.com/watch?v=k9WqpQp8VSU","https://i.ytimg.com/vi/k9WqpQp8VSU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCR9d7J2jWnEpgMzSZ3r8nTuHHrEg","13:43","How I Would Learn To Code (If I Could Start Over)","Namanh Kapur","•","4.5M views","10 months ago","Verified"
"https://www.youtube.com/watch?v=Nxgi4qF6i1Q","https://i.ytimg.com/vi/Nxgi4qF6i1Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCy6Fy1QdekFB6ZumrUQovRHugvvQ","10:59","Style Our Profile Page With Bootstrap - Django Blog #24","Codemy.com","•","11K views","2 years ago",""
"https://www.youtube.com/watch?v=TAH01Iy5AuE","https://i.ytimg.com/vi/TAH01Iy5AuE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD4dRmAmxe35YuscK6GYUsX6BrEqg","14:48","How To Restrict Who Can Make Blog Posts - Django Blog #17","Codemy.com","•","14K views","2 years ago",""
"https://www.youtube.com/watch?v=EX6Tt-ZW0so","https://i.ytimg.com/vi/EX6Tt-ZW0so/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBjvnTeRROW0WRr8y8BK5--ob8jag","25:35","Create Update & Delete (CRUD) with  Model Forms | Django (3.0)  Crash Course Tutorials (pt 10)","Dennis Ivy","•","259K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=oZwyA9lUwRk","https://i.ytimg.com/vi/oZwyA9lUwRk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDQosGwtwQKNCv0-tcRVjc6Av0iQQ","46:47","Django Stripe Payments Simplified with Donation Page","Dennis Ivy","•","52K views","2 years ago","Verified"
"https://www.youtube.com/watch?v=2MkULPXXXLk","https://i.ytimg.com/vi/2MkULPXXXLk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBwLlbx7fv03NvBXBlivs90u4Gc4Q","20:28","How To Add Blog Category Navbar Links - Django Blog #15","Codemy.com","•","18K views","2 years ago",""
"https://www.youtube.com/watch?v=Rxp3mkg2mRQ","https://i.ytimg.com/vi/Rxp3mkg2mRQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDdr5t9gQ8d3-xUjFdZkDrM34Y_5Q","21:17","Web Forms With Flask - Python and Flask #4","Codemy.com","•","44K views","3 years ago",""
"https://www.youtube.com/watch?v=4sosXZsdy-s","https://i.ytimg.com/vi/4sosXZsdy-s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDtk5YQzFY1p_xNpc8f3-iE6SZyQg","1:18:48","Bootstrap 5 Crash Course | Website Build & Deploy","Traversy Media","•","829K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=xiUTqnI6xk8","https://i.ytimg.com/vi/xiUTqnI6xk8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD1vsJqODZJhtyt2m4-vbd219ec6A","24:25","you need to learn SQL RIGHT NOW!! (SQL Tutorial for Beginners)","NetworkChuck","•","734K views","6 months ago","Verified"
